Plot,pH,OrganicMatter,Sand.prop,shade
3294,4.5,5.01,83.36,89.4833333
3297,4.8,1.55,90.04,84.8783333
3299,3.9,5.47,81.87,88.4816667
3330,4.3,4.47,85.44,85.685
